CustomerID,Country,State,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Churn Reason
6047-YHPVI,United States,California,Los Angeles,1,0,0,1,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,1,66,2454,Competitor offered higher download speeds
5380-WJKOV,United States,California,Los Angeles,1,0,0,1,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,1,65,2941,Competitor offered higher download speeds
8168-UQWWF,United States,California,Los Angeles,0,0,0,1,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,70,5674,Competitor offered more data
7760-OYPDY,United States,California,Los Angeles,0,0,0,1,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,1,90,5586,Competitor offered more data
9420-LOJKX,United States,California,Los Angeles,0,0,0,1,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,82,2966,Competitor offered more data
7495-OOKFY,United States,California,Los Angeles,0,1,1,1,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,1,69,5302,Competitor made better offer
1658-BYGOY,United States,California,Los Angeles,1,1,0,1,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,1,81,3179,Competitor made better offer
5698-BQJOH,United States,California,Beverly Hills,0,0,0,1,9,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,1,96,5571,Price too high
5919-TMRGD,United States,California,Huntington Park,0,0,0,1,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,79.35,1,87,2483,Product dissatisfaction
9191-MYQKX,United States,California,Lynwood,0,0,1,1,7,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,70,3457,Service dissatisfaction
8637-XJIVR,United States,California,Marina Del Rey,0,0,0,1,12,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.95,927.35,1,86,5806,Lack of self-service on Website
0278-YXOOG,United States,California,Inglewood,1,0,0,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,113.85,1,66,2604,Network reliability
4598-XLKNJ,United States,California,Inglewood,0,1,1,1,25,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.5,2514.5,1,88,5337,Limited range of services
3192-NQECA,United States,California,Santa Monica,1,0,1,0,68,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,7611.85,1,86,5034,Lack of affordable download/upload speed
0486-HECZI,United States,California,Torrance,1,0,1,1,55,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,96.75,5238.9,1,75,5154,Long distance charges
4846-WHAFZ,United States,California,Whittier,0,1,1,1,37,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.5,2868.15,1,67,2793,Extra data charges
5299-RULOA,United States,California,Whittier,0,0,1,1,10,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.25,1064.65,1,87,5998,Price too high
0404-SWRVG,United States,California,La Habra,1,0,0,1,3,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,229.55,1,76,4415,Product dissatisfaction
4412-YLTKF,United States,California,Pico Rivera,0,1,0,1,27,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.05,2135.5,1,95,4638,Service dissatisfaction
6207-WIOLX,United States,California,Avalon,0,0,1,0,25,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,99,4190,Lack of self-service on Website
3091-FYHKI,United States,California,Harbor City,1,0,0,0,1,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,35.45,35.45,1,80,2301,Network reliability
2372-HWUHI,United States,California,Lakewood,1,0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.35,81.25,1,76,2570,Don't know
0390-DCFDQ,United States,California,Los Alamitos,0,1,1,1,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,70.45,70.45,1,76,3964,Don't know
4080-OGPJL,United States,California,San Pedro,0,0,0,0,8,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,71.15,563.65,1,66,2662,Don't know
2135-RXIHG,United States,California,Carson,1,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.65,45.65,1,73,2600,Poor expertise of online support
3874-EQOEP,United States,California,Long Beach,1,0,0,1,7,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,95.0,655.5,1,94,2786,Poor expertise of phone support
0867-MKZVY,United States,California,Altadena,0,0,1,1,20,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,82.4,1592.35,1,86,5719,Price too high
3376-BMGFE,United States,California,Monrovia,0,0,0,1,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),70.9,273.0,1,75,4287,Product dissatisfaction
3445-HXXGF,United States,California,Sierra Madre,1,1,1,0,58,0,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,45.3,2651.2,1,100,5444,Service dissatisfaction
1875-QIVME,United States,California,Tujunga,0,0,1,1,2,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.4,242.8,1,83,4690,Lack of self-service on Website
0691-JVSYA,United States,California,Pasadena,0,0,1,0,53,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),94.85,5000.2,1,80,4328,Network reliability
2656-FMOKZ,United States,California,Pasadena,0,1,0,1,15,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,74.45,1145.7,1,99,5717,Limited range of services
2070-FNEXE,United States,California,Pasadena,0,1,0,1,7,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),76.45,503.6,1,81,4419,Lack of affordable download/upload speed
6317-YPKDH,United States,California,Glendale,0,0,0,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),29.95,29.95,1,95,4534,Long distance charges
9367-WXLCH,United States,California,Glendale,1,0,0,1,8,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),84.5,662.65,1,86,2152,Extra data charges
1918-ZBFQJ,United States,California,Glendale,0,0,0,1,13,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,79.25,1111.65,1,73,5142,Price too high
1024-GUALD,United States,California,Glendale,0,0,1,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,24.8,24.8,1,94,4851,Product dissatisfaction
2472-OVKUP,United States,California,Canoga Park,1,0,1,1,6,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,91.0,531.0,1,94,2283,Service dissatisfaction
1285-OKIPP,United States,California,Mission Hills,1,0,0,1,1,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,79.9,79.9,1,98,3394,Lack of self-service on Website
7825-ECJRF,United States,California,Santa Clarita,0,0,0,1,19,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,106.6,1934.45,1,71,3764,Network reliability
7841-TZDMQ,United States,California,Sun Valley,1,0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),46.0,84.5,1,76,2667,Don't know
9408-SSNVZ,United States,California,Stevenson Ranch,0,0,0,1,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.15,268.35,1,67,2227,Don't know
0742-MOABM,United States,California,Panorama City,1,0,1,0,4,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,50.05,179.35,1,82,3394,Don't know
2232-DMLXU,United States,California,Van Nuys,0,0,1,0,1,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,55.2,55.2,1,81,3638,Poor expertise of online support
8937-RDTHP,United States,California,Burbank,1,0,0,1,1,1,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,84.6,84.6,1,66,2484,Poor expertise of phone support
1251-KRREG,United States,California,North Hollywood,1,0,0,0,2,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,54.4,114.1,1,81,2556,Price too high
0094-OIFMO,United States,California,North Hollywood,0,1,0,1,11,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.0,1120.3,1,85,5980,Product dissatisfaction
9947-OTFQU,United States,California,Covina,1,1,0,0,15,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.4,1074.3,1,86,4616,Service dissatisfaction
0322-YINQP,United States,California,Covina,1,0,0,0,1,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,48.55,48.55,1,77,5687,Lack of self-service on Website
4629-NRXKX,United States,California,El Monte,0,0,1,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.4,147.15,1,75,5687,Network reliability
9514-JDSKI,United States,California,El Monte,1,1,1,0,1,0,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,40.2,40.2,1,65,5828,Limited range of services
4959-JOSRX,United States,California,La Puente,0,0,1,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),44.6,80.55,1,99,4884,Lack of affordable download/upload speed
7273-TEFQD,United States,California,La Puente,1,1,0,0,3,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,41.15,132.2,1,96,2314,Long distance charges
3606-TWKGI,United States,California,Rowland Heights,1,1,0,0,13,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.9,1364.3,1,84,2494,Extra data charges
6323-AYBRX,United States,California,Ontario,1,0,0,0,59,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.35,1099.6,1,83,5084,Price too high
4385-GZQXV,United States,California,Ontario,0,1,0,0,16,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.45,1511.2,1,81,3810,Product dissatisfaction
6366-ZGQGL,United States,California,Pomona,1,0,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),24.8,24.8,1,73,5087,Service dissatisfaction
5940-AHUHD,United States,California,Pomona,1,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.6,70.6,1,69,3338,Lack of self-service on Website
6432-TWQLB,United States,California,Rosemead,1,0,1,0,5,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,85.4,401.1,1,80,3676,Network reliability
4484-GLZOU,United States,California,San Dimas,0,0,1,0,52,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.05,5624.85,1,65,4839,Don't know
9512-UIBFX,United States,California,West Covina,1,0,1,0,18,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Mailed check,95.15,1779.95,1,68,4643,Don't know
5583-SXDAG,United States,California,Alhambra,1,0,1,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.0,70.0,1,97,4094,Don't know
3488-PGMQJ,United States,California,Alpine,1,1,0,0,8,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.5,606.55,1,80,4345,Poor expertise of online support
3580-REOAC,United States,California,Bonita,1,0,0,0,10,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),44.85,435.4,1,83,4061,Poor expertise of phone support
7534-BFESC,United States,California,Boulevard,1,1,0,0,24,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.1,1712.7,1,98,2018,Price too high
6390-DSAZX,United States,California,Guatay,0,0,0,0,1,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,73.6,73.6,1,80,2565,Product dissatisfaction
8098-LLAZX,United States,California,Jacumba,0,1,0,0,4,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,396.1,1,85,3677,Service dissatisfaction
0265-EDXBD,United States,California,Mount Laguna,1,1,1,0,32,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.9,2303.35,1,69,4105,Lack of self-service on Website
7563-BIUPC,United States,California,Borrego Springs,1,0,0,0,5,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.6,415.55,1,69,5715,Network reliability
2321-OMBXY,United States,California,Carlsbad,0,0,1,0,38,1,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,0,Credit card (automatic),80.3,3058.65,1,81,2071,Limited range of services
2840-XANRC,United States,California,Del Mar,1,1,1,0,24,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,93.15,2231.05,1,73,2212,Lack of affordable download/upload speed
5020-ZSTTY,United States,California,El Cajon,0,1,0,0,54,1,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,0,Bank transfer (automatic),82.45,4350.1,1,83,4149,Long distance charges
5804-LEPIM,United States,California,Escondido,0,1,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.35,139.05,1,73,2671,Extra data charges
0122-OAHPZ,United States,California,Oceanside,0,0,0,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,73.85,511.25,1,67,2473,Price too high
2868-SNELZ,United States,California,Pala,0,0,0,0,2,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Mailed check,80.6,155.8,1,92,2683,Product dissatisfaction
4322-RCYMT,United States,California,Palomar Mountain,1,0,1,0,68,1,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,1,Bank transfer (automatic),75.8,5293.95,1,81,4903,Service dissatisfaction
6680-NENYN,United States,California,Pauma Valley,0,0,0,0,43,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,104.6,4759.85,1,91,5250,Lack of self-service on Website
1343-EHPYB,United States,California,Ranchita,1,0,1,0,63,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,103.4,6603.0,1,98,4352,Network reliability
2034-GDRCN,United States,California,Valley Center,0,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,90.4,168.2,1,76,4157,Don't know
0219-YTZUE,United States,California,San Diego,1,0,1,0,4,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),84.8,371.9,1,73,4939,Don't know
0623-IIHUG,United States,California,San Diego,0,1,0,0,21,0,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,1,Electronic check,41.9,840.1,1,97,4778,Don't know
4572-DVCGN,United States,California,San Diego,0,0,0,0,10,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),80.25,846.0,1,85,3598,Poor expertise of online support
9057-MSWCO,United States,California,San Diego,1,1,1,0,27,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Credit card (automatic),30.75,805.1,1,91,2927,Poor expertise of phone support
1010-DIAUQ,United States,California,San Diego,1,0,0,0,5,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),96.5,492.55,1,98,5383,Price too high
0259-GBZSH,United States,California,San Diego,1,0,0,0,2,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,85.65,181.5,1,73,3878,Product dissatisfaction
9601-BRXPO,United States,California,San Diego,0,0,1,0,25,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),104.95,2566.5,1,66,3642,Service dissatisfaction
6905-NIQIN,United States,California,San Diego,1,0,0,0,1,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,50.65,50.65,1,76,2431,Don't know
5167-ZFFMM,United States,California,Indio,1,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),90.85,90.85,1,81,3424,Network reliability
4895-TMWIR,United States,California,Indian Wells,1,1,1,0,11,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,214.75,1,80,5888,Limited range of services
0533-BNWKF,United States,California,Palm Desert,0,1,1,0,55,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,85.45,4874.7,1,100,5502,Lack of affordable download/upload speed
6599-CEBNN,United States,California,Desert Hot Springs,0,0,0,0,34,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),73.95,2524.45,1,94,5795,Long distance charges
0979-PHULV,United States,California,Holtville,1,0,1,0,69,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.45,7007.6,1,80,4020,Extra data charges
4800-VHZKI,United States,California,Niland,0,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.9,19.9,1,92,3351,Price too high
7989-CHGTL,United States,California,North Palm Springs,1,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.6,19.6,1,95,3448,Product dissatisfaction
0334-GDDSO,United States,California,Ocotillo,1,1,0,0,3,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,81.35,233.7,1,73,2818,Service dissatisfaction
0578-SKVMF,United States,California,Seeley,0,0,1,0,22,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,83.3,1845.9,1,88,3804,Lack of self-service on Website
5564-NEMQO,United States,California,Thermal,0,1,0,0,1,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.3,75.3,1,67,4902,Network reliability
9063-ZGTUY,United States,California,Adelanto,0,0,1,0,61,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.4,1182.55,1,82,4221,Don't know
2957-LOLHO,United States,California,Apple Valley,1,0,0,0,12,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),45.4,518.9,1,68,2887,Don't know
7752-XUSCI,United States,California,Crestline,0,0,0,0,60,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.9,6396.45,1,84,4105,Don't know
4110-PFEUZ,United States,California,Daggett,0,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,69.55,69.55,1,73,2792,Competitor had better devices
0256-LTHVJ,United States,California,Ludlow,0,0,1,0,28,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,81.05,2227.1,1,98,5201,Competitor had better devices
0880-TKATG,United States,California,Lucerne Valley,1,0,1,0,4,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,101.15,385.9,1,84,4417,Competitor had better devices
3811-VBYBZ,United States,California,Lytle Creek,1,0,0,0,7,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.8,673.25,1,98,2031,Competitor had better devices
4640-UHDOS,United States,California,Phelan,0,0,1,0,13,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,55.95,734.35,1,91,4498,Competitor had better devices
3583-EKAPL,United States,California,Redlands,1,0,0,0,1,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,55.0,55.0,1,71,4877,Competitor had better devices
9399-APLBT,United States,California,Rialto,0,0,1,0,1,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.7,74.7,1,80,5980,Competitor had better devices
2359-KMGLI,United States,California,Running Springs,1,0,0,0,24,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,80.25,1861.5,1,77,4418,Competitor had better devices
0306-JAELE,United States,California,Tecopa,1,0,0,0,5,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,96.1,453.4,1,66,4192,Competitor had better devices
6227-HWPWX,United States,California,Victorville,0,0,0,0,15,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),69.0,994.8,1,73,5671,Competitor had better devices
0447-BEMNG,United States,California,Wrightwood,0,0,1,0,48,0,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),45.3,2145.0,1,65,4926,Price too high
5949-XIKAE,United States,California,San Bernardino,0,0,1,0,8,1,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,83.55,680.05,1,65,2879,Product dissatisfaction
8372-JUXUI,United States,California,San Bernardino,1,0,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.35,74.35,1,93,2814,Service dissatisfaction
0388-EOPEX,United States,California,Riverside,0,0,1,0,2,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,139.4,1,77,4263,Lack of self-service on Website
8205-OTCHB,United States,California,Riverside,1,0,0,0,22,0,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,1,Bank transfer (automatic),43.75,903.6,1,66,3099,Network reliability
6235-VDHOM,United States,California,Riverside,0,1,0,0,5,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,28.45,131.05,1,89,4099,Limited range of services
7783-YKGDV,United States,California,March Air Reserve Base,0,0,0,0,12,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),99.7,1238.45,1,76,2538,Lack of affordable download/upload speed
5609-CEBID,United States,California,Hemet,0,1,0,0,20,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,94.1,1782.4,1,87,2666,Long distance charges
7218-HKQFK,United States,California,Homeland,1,0,1,0,2,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.2,167.5,1,72,3715,Don't know
4636-QRJKY,United States,California,Idyllwild,0,0,1,0,6,1,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,80.5,502.85,1,98,5032,Price too high
5956-VKDTT,United States,California,Moreno Valley,0,1,1,0,5,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.35,334.8,1,82,5273,Product dissatisfaction
9412-GHEEC,United States,California,Murrieta,1,0,0,0,40,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,0,Bank transfer (automatic),104.8,4131.95,1,88,3492,Service dissatisfaction
0257-ZESQC,United States,California,Perris,0,1,1,0,27,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,1,99,4517,Lack of self-service on Website
6825-UYPFK,United States,California,Sun City,0,0,0,0,23,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),75.6,1758.6,1,81,2115,Network reliability
8397-MVTAZ,United States,California,Sun City,1,0,1,0,34,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.05,3480.0,1,72,2568,Don't know
9282-IZGQK,United States,California,Irvine,0,0,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.0,85.0,1,80,5679,Don't know
1342-JPNKI,United States,California,Lake Forest,1,0,0,0,10,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),86.05,834.1,1,85,2966,Don't know
2817-NTQDO,United States,California,Huntington Beach,1,0,0,0,13,0,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),45.55,597.0,1,74,4856,Poor expertise of online support
6986-IJDHX,United States,California,Huntington Beach,1,0,1,0,39,1,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Mailed check,86.3,3266.0,1,98,3364,Poor expertise of phone support
